query,label
form reject ho gaya kya karu,admissions
is there a management quota,admissions
last date for bba registration,admissions
can i change my branch in 2nd year,admissions
i have 50 percent in 12th science,admissions
what happens in counselling,admissions
online apply ka link kahan milega,admissions
transfer certificate is compulsory?,admissions
bpharma list me naam nahi aaya,admissions
interview kahan conduct hoga,admissions
lateral entry diploma to degree,admissions
admission helpline number,admissions
eligibility criteria for mba,admissions
education loan k liye document,fees
per semester kitna paisa dena hoga,fees
hostel aur mess ka charge,fees
security deposit refund kab hoga,fees
online fees kaise jama kare,fees
cash counter timings,fees
discount on one time payment?,fees
is laptop cost included in fee,fees
fine for late submission of dues,fees
bus facility ka yearly charge,fees
scholarship kitna percent milta hai paiso me,fees
admission blocking deposit,fees
total expenditure for btech 4 years,fees
wifi ki speed kaisi hai hostel me,facilities
libary me extra book kaise issue kare,facilities
sports week kab hota hai,facilities
medical center open hours,facilities
is there a separate timing for the campus gym on weekends,facilities
ac room in boys hostel available?,facilities
gym kitne baje khulta hai,facilities
weekend events in campus,facilities
canteen menu list pdf,facilities
holiday calendar download link,facilities
mid sem exams schedule,facilities
transport route from guwahati club,facilities
python me for loop kaise likhe,out_of_scope
fix laptop wifi issue,out_of_scope
virat kohli ipl team,out_of_scope
best budget laptop for students,out_of_scope
how to clear bank po exam,out_of_scope
gta 6 release date,out_of_scope
gym diet plan for muscle gain,out_of_scope
capital of france,out_of_scope
latest movies in cinema,out_of_scope
share market open time,out_of_scope
upsc prelims syllabus,out_of_scope
c++ pointers concept,out_of_scope
