question_topic,why_unverified,potential_official_source,recommended_answer,recommended_escalate
Standard complaints resolve in 7 working days; complex cases up to 25 working days,Not independently verified from V1 markdown or original official URL,https://adtu.in/iqac/policy-mom/grievance-redressal/policy-for-grievance-redressal-system.pdf,no,yes
Students have a 15-working-day window to submit a Re-Appeal to the Registrar,Not independently verified from V1 markdown or original official URL,https://adtu.in/iqac/policy-mom/grievance-redressal/policy-for-grievance-redressal-system.pdf,no,yes
How to apply for a migration certificate and its fee,"CoE is listed as responsible but exact form, portal, and fees are not in primary sources",coe.adtu.in or Student ERP,no,yes - direct to coe@adtu.in
Exact departure times for campus buses,12 routes verified but dynamic schedules are volatile and not publicly documented,Transport Office Notice Board,partial - provide verified routes only,yes - for specific times
Campus doctor location and emergency medical numbers,Psychological support documented but physical triage/ambulance data missing from public sources,Directorate of Student Affairs,no,yes - provide helpline +91 93657 71454
A-Connect password reset procedure,Login ID (enrollment number) known but IT recovery pathways are behind portal firewall,my.adtu.in login interface,no,yes - direct to IT Helpdesk or general admin line
Exact monetary hostel and mess fee amounts,"Capacities, blocks, wardens documented but per-semester fee amounts missing from collected sources",Finance Office / Admission Forms,no,yes - route to fao@adtu.in
Exam re-evaluation procedure and timeline,"Re-evaluation falls under CoE but exact steps, application window, and fees are unpublished",Examination Ordinances,no,yes - route to coe@adtu.in
Lost student ID card replacement procedure and penalty,Code of Conduct mandates wearing ID daily but replacement procedure is undocumented,Registrar or DSA,no,yes - route to registrar@adtu.in
Specific dates for PhD entrance test (RET),CoE conducts RET but dates are volatile and change yearly,Academic Calendar,no - dates are volatile,yes - advise checking official website
Guest rules and visitor hours for hostels,Hostel blocks and wardens defined but visitor/curfew rules absent from public sources,Hostel Administration,no,yes - contact hostel wardens
Governor Assam Pratibha Protsahan Yojana eligibility requirements,"Scholarship name listed on portal but exact criteria, amount, and application process missing",Scholarship Schemes portal,no,yes - route to admissions or finance office
