query,calibration_label,expected_intent,predicted_intent,intent_correct,blocked_oos,top1_distance,top3_mean_distance,top5_mean_distance,distinct_parent_top3_mean_distance,distinct_parent_top5_mean_distance,top1_chunk_id,top3_chunk_ids,top5_chunk_ids,top1_category_match,top3_category_match_rate,any_v2_chunk_in_top5,known_chunk_found,answer_found_in_text
how many seats are available in the H Block boys hostel,answerable,facilities,out_of_scope,False,True,,,,,,,,,,,,,
H Block hostel kitne students ko accommodate kar sakta hai,answerable,facilities,facilities,True,False,0.22225,0.263554,0.280697,0.263554,0.280697,hostel-details-html_33,hostel-details-html_33; hostel-details-html_0; hostel-details-html_1,hostel-details-html_33; hostel-details-html_0; hostel-details-html_1; v2_class_routine_8; v2_class_routine_53,True,1.0,True,True,True
total fee structure for Bachelor of Computer Application with IBM collaboration,answerable,fees,fees,True,False,0.258387,0.267909,0.285304,0.267909,0.285304,v2_fees_6,v2_fees_6; v2_fees_3; v2_fees_5,v2_fees_6; v2_fees_3; v2_fees_5; v2_fees_4; v2_scholarships_1,True,1.0,True,True,False
BCA IBM programme ka poora fees kitna hai,answerable,fees,fees,True,False,0.247798,0.267624,0.287301,0.267624,0.287301,v2_fees_6,v2_fees_6; v2_fees_3; v2_fees_5,v2_fees_6; v2_fees_3; v2_fees_5; v2_fees_4; v2_fees_0,True,1.0,True,True,False
which scholarship gives 100 percent waiver to CBSE board toppers,answerable,admissions,facilities,False,False,0.342198,0.352651,0.361451,0.352651,0.361451,circulars_50,circulars_50; iqac_122; placement_56,circulars_50; iqac_122; placement_56; circulars_126; iqac_198,True,1.0,False,False,False
class schedule for B.Tech CSE Data Science and AI IBM second year first semester,answerable,facilities,facilities,True,False,0.137605,0.147591,0.154381,0.147591,0.154381,v2_class_routine_14,v2_class_routine_14; v2_class_routine_0; v2_class_routine_4,v2_class_routine_14; v2_class_routine_0; v2_class_routine_4; v2_class_routine_30; v2_class_routine_27,True,1.0,True,True,True
holidays that can be changed by the Assam government,answerable,facilities,out_of_scope,False,True,,,,,,,,,,,,,
how many boys hostel blocks are there in AdtU campus,answerable,facilities,facilities,True,False,0.151299,0.166541,0.19475,0.166541,0.19475,hostel-details-html_33,hostel-details-html_33; hostel-details-html_0; hostel-details-html_1,hostel-details-html_33; hostel-details-html_0; hostel-details-html_1; iqac_245; iqac_92,True,1.0,False,True,True
AdtU ke boys hostel mein kitne blocks hain,answerable,facilities,facilities,True,False,0.174009,0.187605,0.216263,0.187605,0.216263,hostel-details-html_33,hostel-details-html_33; hostel-details-html_0; hostel-details-html_1,hostel-details-html_33; hostel-details-html_0; hostel-details-html_1; circulars_155; iqac_227,True,1.0,False,True,True
what is the scholarship percentage for students with 90 percent marks from CBSE,answerable,admissions,out_of_scope,False,True,,,,,,,,,,,,,
fee for B.Tech CSE first year,answerable,fees,fees,True,False,0.244003,0.27706,0.292072,0.27706,0.292072,v2_fees_6,v2_fees_6; v2_fees_3; v2_fees_5,v2_fees_6; v2_fees_3; v2_fees_5; v2_fees_4; v2_scholarships_1,True,1.0,True,True,False
kya AdtU mein MBA course available hai,answerable,admissions,admissions,True,False,0.207974,0.215806,0.221728,0.215806,0.221728,join-adtu_33,join-adtu_33; apply-adtu-in_1; join-adtu_0,join-adtu_33; apply-adtu-in_1; join-adtu_0; all-programmes_1; all-programmes_0,True,1.0,False,False,False
what are the available engineering programmes at AdtU,answerable,admissions,out_of_scope,False,True,,,,,,,,,,,,,
warden name for A Block girls hostel,answerable,facilities,facilities,True,False,0.236323,0.273495,0.286525,0.273495,0.286525,hostel-details-html_33,hostel-details-html_33; hostel-details-html_0; hostel-details-html_1,hostel-details-html_33; hostel-details-html_0; hostel-details-html_1; v2_class_routine_53; iqac_93,True,1.0,True,True,False
how to reach AdtU campus from Guwahati city,answerable,facilities,facilities,True,False,0.231426,0.23366,0.23608,0.23366,0.23608,iqac_245,iqac_245; placement_69; hostel-details-html_1,iqac_245; placement_69; hostel-details-html_1; hostel-details-html_0; circulars_57,True,1.0,False,False,False
AdtU academic calendar mein summer vacation kab hai,answerable,facilities,facilities,True,False,0.163006,0.173431,0.185677,0.173431,0.185677,academic-calendar-html_1,academic-calendar-html_1; academic-calendar-html_0; academic-calendar-html_33,academic-calendar-html_1; academic-calendar-html_0; academic-calendar-html_33; iqac_52; circulars_1,True,1.0,False,False,False
B.Tech CSE AI 3rd year routine kaisa hai,answerable,facilities,facilities,True,False,0.180809,0.188393,0.191321,0.188393,0.191321,v2_class_routine_33,v2_class_routine_33; v2_class_routine_14; v2_class_routine_44,v2_class_routine_33; v2_class_routine_14; v2_class_routine_44; v2_class_routine_36; v2_class_routine_0,True,1.0,True,False,True
national holidays listed for AdtU 2024,answerable,facilities,facilities,True,False,0.202049,0.20859,0.215292,0.20859,0.215292,academic-calendar-html_1,academic-calendar-html_1; academic-calendar-html_0; circulars_0,academic-calendar-html_1; academic-calendar-html_0; circulars_0; circulars_1; v2_holiday_calendar_2,True,1.0,True,False,False
fee structure for MCA programme at AdtU,answerable,fees,fees,True,False,0.200326,0.204812,0.221021,0.204812,0.221021,v2_fees_5,v2_fees_5; v2_scholarships_0; v2_fees_4,v2_fees_5; v2_scholarships_0; v2_fees_4; v2_fees_6; v2_fees_0,True,1.0,True,True,False
total number of hostel blocks and their names at AdtU,answerable,facilities,facilities,True,False,0.138608,0.154805,0.186157,0.154805,0.186157,hostel-details-html_33,hostel-details-html_33; hostel-details-html_0; hostel-details-html_1,hostel-details-html_33; hostel-details-html_0; hostel-details-html_1; public-self-disclosure-html_0; iqac_92,True,1.0,False,True,False
exam schedule for first semester 2024,answerable,facilities,facilities,True,False,0.294473,0.312674,0.316928,0.312674,0.316928,iqac_51,iqac_51; v2_class_routine_0; v2_holiday_calendar_0,iqac_51; v2_class_routine_0; v2_holiday_calendar_0; v2_class_routine_4; v2_class_routine_10,True,1.0,True,False,False
scholarship for students with disability,answerable,admissions,facilities,False,False,0.32354,0.330018,0.342592,0.330018,0.342592,circulars_50,circulars_50; iqac_122; iqac_95,circulars_50; iqac_122; iqac_95; circulars_52; iqac_124,True,1.0,False,False,False
which course has the highest seat intake at AdtU,answerable,admissions,admissions,True,False,0.249411,0.25548,0.259181,0.25548,0.259181,join-adtu_33,join-adtu_33; all-programmes_0; join-adtu_0,join-adtu_33; all-programmes_0; join-adtu_0; all-programmes_1; ews2025_43,True,1.0,False,False,False
AdtU mein BBA kitne saal ka course hai,answerable,admissions,admissions,True,False,0.219274,0.221783,0.225668,0.221783,0.225668,join-adtu_33,join-adtu_33; apply-adtu-in_1; all-programmes_1,join-adtu_33; apply-adtu-in_1; all-programmes_1; join-adtu_0; all-programmes_0,True,1.0,False,False,False
AdtU ki library mein kitni books hain,answerable,facilities,facilities,True,False,0.189328,0.201614,0.210634,0.201614,0.210634,hndb-library_33,hndb-library_33; hndb-library_0; hostel-details-html_1,hndb-library_33; hndb-library_0; hostel-details-html_1; hndb-library_39; circulars_1,True,1.0,False,False,False
hostel and mess fee per semester,knowledge_gap,fees,fees,True,False,0.288945,0.302152,0.310536,0.302152,0.310536,v2_fees_6,v2_fees_6; v2_fees_3; v2_fees_4,v2_fees_6; v2_fees_3; v2_fees_4; v2_scholarships_1; v2_scholarships_0,True,1.0,True,False,False
exact timing for campus shuttle departure from Jalukbari,knowledge_gap,facilities,facilities,True,False,0.266927,0.275501,0.281382,0.275501,0.281382,v2_holiday_calendar_2,v2_holiday_calendar_2; v2_class_routine_9; v2_class_routine_13,v2_holiday_calendar_2; v2_class_routine_9; v2_class_routine_13; circulars_0; iqac_245,True,1.0,True,False,False
WiFi password for boys hostel,knowledge_gap,facilities,facilities,True,False,0.328029,0.333525,0.342203,0.333525,0.342203,hostel-details-html_0,hostel-details-html_0; hostel-details-html_33; hostel-details-html_1,hostel-details-html_0; hostel-details-html_33; hostel-details-html_1; hndb-library_35; v2_class_routine_27,True,1.0,True,False,False
how to reset A-Connect student portal password,knowledge_gap,facilities,out_of_scope,False,True,,,,,,,,,,,,,
campus doctor timing and emergency ambulance number,knowledge_gap,facilities,facilities,True,False,0.334455,0.346414,0.351665,0.346414,0.351665,academic-calendar-html_36,academic-calendar-html_36; phd_39; iqac_245,academic-calendar-html_36; phd_39; iqac_245; public-self-disclosure-html_34; hndb-library_44,True,1.0,False,False,False
guest visitor rules and timings for hostel blocks,knowledge_gap,facilities,facilities,True,False,0.310582,0.317922,0.328609,0.317922,0.328609,hostel-details-html_33,hostel-details-html_33; hostel-details-html_0; hostel-details-html_1,hostel-details-html_33; hostel-details-html_0; hostel-details-html_1; v2_holiday_calendar_0; circulars_80,True,1.0,True,False,False
migration certificate fee and application process,knowledge_gap,admissions,admissions,True,False,0.383271,0.39139,0.398428,0.39139,0.398428,ews2025_40,ews2025_40; ews2025_37; ews2025_42,ews2025_40; ews2025_37; ews2025_42; ews2025_36; ews2025_38,True,1.0,False,False,False
exam re-evaluation procedure at AdtU,knowledge_gap,admissions,admissions,True,False,0.219689,0.238728,0.245504,0.238728,0.245504,join-adtu_33,join-adtu_33; apply-adtu-in_1; all-programmes_46,join-adtu_33; apply-adtu-in_1; all-programmes_46; join-adtu_34; ews2025_33,True,1.0,False,False,False
