query,label
adm process for btech cse bro,admissions
do we hav entrnce for mba,admissions
bca eligibility pls,admissions
whens the lst date 4 bsc nursing,admissions
wht docs r reqd for admision,admissions
adtu btech form kab aayega,admissions
can 12th comm do btech,admissions
bpharma cutoff kya hai,admissions
online form kaise fill kare,admissions
u accept jee mains?,admissions
cuet reqd for bba or wut,admissions
is mca adm still opn,admissions
i got 55% in 12th eligible?,admissions
admn helpline num plz,admissions
where do i submit dis form,admissions
entrnce date??,admissions
syllabus for adtu test,admissions
do i need migration cert rn?,admissions
adtu pg admission deadline,admissions
cancel my adm pls,admissions
lateral entry 2nd yr,admissions
how to get into b.ed,admissions
do yall have bsc agri,admissions
physical reporting jaruri hai?,admissions
mba admission requirements,admissions
admit card link,admissions
counselling kab hai,admissions
provisional adm milega?,admissions
phd selection,admissions
gen cat cut off,admissions
any spot admission?,admissions
management quota hai?,admissions
track my app status,admissions
no confirmation mail recieved yet,admissions
ba llb age limit,admissions
gap cert mandatory?,admissions
exam online hoga ya offline,admissions
foreign stvdents adm,admissions
btech fees total,fees
mba tution fee,fees
hostel fee kitna hai,fees
how to pay fees online,fees
adtu fee refund policy,fees
last date 2 pay fee,fees
late fee fine?,fees
college fees installments me de sakte h?,fees
adtu security deposit amount,fees
is reg fee refundabl,fees
bba total cost,fees
mca 1st sem fee,fees
fees me hidden charges hai kya,fees
exam fee incl in tuition?,fees
fee portal link,fees
paisa kat gaya but payment failed,fees
fee receipt kahan milega,fees
dd kis name pe banana hai,fees
education loan milega?,fees
fee waiver for poor,fees
sc/st concession,fees
bus fee from jalukbari,fees
bsc nursing fee structure,fees
mess ka kitna,fees
alumni fee kya h,fees
lib caution dep,fees
readmission cost,fees
lateral entry fee,fees
scholarship discount in fees?,fees
payment link not working bro,fees
upi allowed?,fees
fees cash chalega?,fees
uniform fee extra hai?,fees
4 yrs btech tot expens,fees
ba english fee,fees
wht if i pay fee late,fees
refund check status,fees
mba form fee,fees
hostel me ac hai?,facilities
library kaisa h,facilities
bus frm six mile,facilities
adtu class routine timing,facilities
btech routine plz,facilities
sem exams kabse hai,facilities
next adtu holiday list kab hai,facilities
sports quota hai ky,facilities
campus gym?,facilities
wifi milega,facilities
lib timing,facilities
topper scholarship,facilities
bus routes,facilities
hostel compulsory h?,facilities
atm on campus?,facilities
medical facility,facilities
hostel ka khana,facilities
winter vacation dates,facilities
library se book kaise issue kare,facilities
nsp portal,facilities
which clubs r there,facilities
mca routine,facilities
acad calendar 2024,facilities
adtu bus transport timings,facilities
girls hostel curfew,facilities
swimming pool h kya,facilities
minority scholrship,facilities
placements kaise hai,facilities
canteen timing,facilities
weekend class,facilities
adtu sports ground booking,facilities
lab timing,facilities
durga puja holidays,facilities
renew bus pass,facilities
single room hostel me,facilities
late fine for books,facilities
adtu auditorium capacity,facilities
rev string in python,out_of_scope
who won wc,out_of_scope
aus capital,out_of_scope
instal win 11,out_of_scope
netflix recs,out_of_scope
solve x2+5x+6=0,out_of_scope
quantum comp,out_of_scope
wtf is chatgpt,out_of_scope
butter chicken rcp,out_of_scope
usa president,out_of_scope
react app cmd,out_of_scope
reltivity theory,out_of_scope
phn under 20k,out_of_scope
weather,out_of_scope
blockchain??,out_of_scope
loose weight fast,out_of_scope
sql join,out_of_scope
marvel movies timeline,out_of_scope
speed of light,out_of_scope
bsod fix,out_of_scope
lyf meaning,out_of_scope
earth to moon dist,out_of_scope
tie knot,out_of_scope
cpp vs java,out_of_scope
stock tips,out_of_scope
chess rules,out_of_scope
inflation kya h,out_of_scope
roman empire,out_of_scope
euro trip,out_of_scope
machine lrning,out_of_scope
cake recipe,out_of_scope
tallest mt,out_of_scope
sinx deriv,out_of_scope
elon musk,out_of_scope
iph 15 rev,out_of_scope
virus vs bact,out_of_scope
yt channel,out_of_scope
binary search logic in java,out_of_scope
world cup schedule 2027,out_of_scope
budget 2026 highlights,out_of_scope
who won olympic gold in badminton,out_of_scope
share market me invest kaise kare,out_of_scope
capital of japan,out_of_scope
what is photosynthesis,out_of_scope
best sci-fi movies on prime,out_of_scope
rcb cup kab jeetega,out_of_scope
plzz help with math homwork,out_of_scope
js function declaration syntax,out_of_scope
write sql query to group by dept,out_of_scope
difference between python and c++,out_of_scope
aaj sensex kyu gira,out_of_scope
where is the eiffel tower,out_of_scope
how does a rocket work,out_of_scope
latest song of arijit singh,out_of_scope
thikana kahan hai tumhara,out_of_scope
how 2 crck upsc,out_of_scope
what is gravity,out_of_scope
ms dhoni stats,out_of_scope
tata motors share price,out_of_scope
html syntax for table,out_of_scope
how to make paneer tikka,out_of_scope
chatgpt release date,out_of_scope
round 1 seat allotment list kab aayega,admissions
waiting list position 45 any chance,admissions
document verification k lye kya lana hai,admissions
personal interview online hoga ya offline,admissions
bba shortlist results date,admissions
counselling session me kya puchte hai,admissions
physical reporting on campus is mandatory?,admissions
application under review since 2 weeks,admissions
admission cancel karke paise wapas lene hai,admissions
merit list for bca program,admissions
