query,label
seat allotment result kahan dekhein,admissions
tc or migration zaroori h kya,admissions
bsc waiting list kab clear hogi,admissions
kya mujhe document verification ke liye campus aana padega,admissions
max age for ug pgrm,admissions
mba personal interview shortlist,admissions
how do I cancel my admission?,admissions
what documents do I need to submit?,admissions
lateral counselling kab start hogi,admissions
what if i missed the registration deadline,admissions
correction window open for btech application?,admissions
pcm main kitne percentage chahiye,admissions
adtu me direct admission kaise le,admissions
4 years ka total kharcha kitna aayega,fees
is there any fee waiver for poor students,fees
upi se payment chalega ya dd dena hoga,fees
late fine grace period kitne din ka hai,fees
mess charges per month kya hai,fees
caution money return policy kya hai,fees
emi me de sakte h kya total amount,fees
scholarship discount on fees?,fees
loan lene ke liye fee structure receipt chahiye,fees
nri stduents ka fee structure,fees
hostel fee?,fees
admission k time kitna pay karna hoga,fees
seat blocking amount kya hai,fees
single room ac allocation in hostel,facilities
hostel food quality?,facilities
central library wifi password,facilities
sports complex ground booking,facilities
diwali holidays list,facilities
bus from paltan bazar to campus timing,facilities
cafeteria food options,facilities
first year ki classes kab start hongi,facilities
scholarship eligibility?,facilities
nsp scholarship portal helpdesk,facilities
medical emergency in campus ambulance,facilities
robotics or coding clubs hai kya,facilities
best place to eat momos in ghy,out_of_scope
laptop black screen fix,out_of_scope
virat kohli total centuries,out_of_scope
integral of log x maths,out_of_scope
assam ki sabse unchi choti,out_of_scope
best laptop under 50k for coding,out_of_scope
chicken biryani recipe in hindi,out_of_scope
why is sky blue in colour,out_of_scope
new hollywood action movies 2026,out_of_scope
kal nifty banknifty kya hoga,out_of_scope
Python code for sorting an array,out_of_scope
write a c++ program to reverse array,out_of_scope
