query,label
binary search logic in java,out_of_scope
world cup schedule 2027,out_of_scope
budget 2026 highlights,out_of_scope
who won olympic gold in badminton,out_of_scope
share market me invest kaise kare,out_of_scope
capital of japan,out_of_scope
what is photosynthesis,out_of_scope
best sci-fi movies on prime,out_of_scope
rcb cup kab jeetega,out_of_scope
plzz help with math homwork,out_of_scope
js function declaration syntax,out_of_scope
write sql query to group by dept,out_of_scope
difference between python and c++,out_of_scope
aaj sensex kyu gira,out_of_scope
where is the eiffel tower,out_of_scope
how does a rocket work,out_of_scope
latest song of arijit singh,out_of_scope
thikana kahan hai tumhara,out_of_scope
how 2 crck upsc,out_of_scope
what is gravity,out_of_scope
ms dhoni stats,out_of_scope
tata motors share price,out_of_scope
html syntax for table,out_of_scope
how to make paneer tikka,out_of_scope
chatgpt release date,out_of_scope
round 1 seat allotment list kab aayega,admissions
waiting list position 45 any chance,admissions
document verification k lye kya lana hai,admissions
personal interview online hoga ya offline,admissions
bba shortlist results date,admissions
counselling session me kya puchte hai,admissions
physical reporting on campus is mandatory?,admissions
application under review since 2 weeks,admissions
admission cancel karke paise wapas lene hai,admissions
merit list for bca program,admissions
selection process for mca,admissions
direct admission cutoff details,admissions
seat allot ho gya aage kya kare,admissions
waiting list kab tak update hoga,admissions
interview schedule for btech,admissions
which docs for verification,admissions
counselling center kahan hai,admissions
my application status is pending,admissions
cancel admit process,admissions
interview m questions kya honge,admissions
cafeteria menu for today,facilities
bsc first sem routine pdf,facilities
bus timing from guwahati station,facilities
central library books issue time,facilities
hostel me washing machine hai?,facilities
daily class routine download,facilities
academic calendar start date,facilities
bus pass valid kitne din?,facilities
canteen me kya milta hai,facilities
morning class kitne baje start hogi,facilities
shuttle service schedule,facilities
library card kaise banaye,facilities
single seater room amenities,facilities
exam routine publish date,facilities
holiday list for diwali,facilities
