claim_id,category,claim,original_source_url,document_title,relevant_section,published_date,verification_status,verification_method,notes
VK-01,Grievance,Grievance Cell coordinated by Kasturi Dutta. Contact: student.grievance@adtu.in or +91 6003903319,https://adtu.in/contact/,Contact Us,Grievance Cell,N/A,VERIFIED_V1_MARKDOWN,Found in V1 file: academic-calendar-html.md,Claim supported by existing V1 corpus content
VK-02,Grievance,Standard complaints resolve in 7 working days; complex cases up to 25 working days,https://adtu.in/iqac/policy-mom/grievance-redressal/policy-for-grievance-redressal-system.pdf,Policy for Grievance Redressal,Procedure for addressing,N/A,UNVERIFIED_PENDING,Not found in V1 markdown or live URL,Requires manual verification before entering trusted KB
VK-03,Grievance,Students have a 15-working-day window to submit a Re-Appeal to the Registrar,https://adtu.in/iqac/policy-mom/grievance-redressal/policy-for-grievance-redressal-system.pdf,Policy for Grievance Redressal,Re-appeal,N/A,UNVERIFIED_PENDING,Not found in V1 markdown or live URL,Requires manual verification before entering trusted KB
VK-04,Anti-Ragging,Anti-ragging nodal officer: Dr. Sangita Boro. Contact: +91 9365107230 or sangita.boro@adtu.in,https://adtu.in/anti-ragging.html,Anti-Ragging,Contacts,N/A,VERIFIED_V1_MARKDOWN,Found in V1 file: public-self-disclosure-html.md,Claim supported by existing V1 corpus content
VK-05,Anti-Ragging,Report ragging via A-Connect App: Administration -> Grievance -> Add new -> Ragging category,https://adtu.in/iqac/assets/files/Ragging_help_Mechanism.pdf,SOP for online complaint,SOP,N/A,VERIFIED_V1_MARKDOWN,Found in V1 file: academic-calendar-html.md,Claim supported by existing V1 corpus content
VK-06,ICC,File sexual harassment complaint via A-Connect App: Administration -> Grievance -> Sexual Harassment,https://adtu.in/internal-complaint-committee.html,Internal Complaint Committee,SOP,N/A,VERIFIED_V1_MARKDOWN,Found in V1 file: academic-calendar-html.md,Claim supported by existing V1 corpus content
VK-07,ICC,ICC Member Secretary: Ms. Neha Nongmeikapam (Psychological Counsellor). Phone: +91 9365393994,https://adtu.in/internal-complaint-committee.html,Internal Complaint Committee,Contacts,N/A,VERIFIED_ORIGINAL_URL,Fetched and verified: https://adtu.in/internal-complaint-committee.html,Found 3/3 search terms in live page
VK-08,Academic,75% compulsory attendance. 60% allowed on medical grounds with fine and valid certificate,https://adtu.in/code-of-conduct-students.html,Code of Conduct,Undertaking,N/A,VERIFIED_V1_MARKDOWN,Found in V1 file: circulars.md,Claim supported by existing V1 corpus content
VK-09,Academic,Unnotified absence over 30 days leads to removal from university roll,https://adtu.in/code-of-conduct-students.html,Code of Conduct,Undertaking,N/A,VERIFIED_ORIGINAL_URL,Fetched and verified: https://adtu.in/code-of-conduct-students.html,Found 3/3 search terms in live page
VK-10,Exam,"Controller of Examinations: Dr. Joydeep Goswami. Contact: coe@adtu.in, +91 9560790911",https://adtu.in/coe.html,Controller of Examinations,Contacts,N/A,VERIFIED_V1_MARKDOWN,Found in V1 file: academic-calendar-html.md,Claim supported by existing V1 corpus content
VK-11,Library,Library hours: 9 AM to 8 PM working days; 10 AM to 12 PM Sundays/holidays,https://adtu.in/hndb-library/about-library/,About Library,Opening Hours,N/A,VERIFIED_V1_MARKDOWN,Found in V1 file: circulars.md,Claim supported by existing V1 corpus content
VK-12,Library,Overdue fine: Rs. 10 per day for students (from 16th day); Rs. 20 per day for faculty,https://adtu.in/hndb-library/about-library/,About Library,Book Issue,N/A,VERIFIED_V1_MARKDOWN,Found in V1 file: circulars.md,Claim supported by existing V1 corpus content
VK-13,Library,Students can borrow up to 2 books for 15 days,https://adtu.in/hndb-library/about-library/,About Library,Borrowing,N/A,VERIFIED_V1_MARKDOWN,Found in V1 file: circulars.md,Claim supported by existing V1 corpus content
VK-14,Finance,"Finance & Accounts Officer: Mr. Jaydeep Kakati. Contact: fao@adtu.in, +91 8472816245",https://adtu.in/contact/,Contact Us,Quick Links,N/A,VERIFIED_V1_MARKDOWN,Found in V1 file: circulars.md,Claim supported by existing V1 corpus content
VK-15,Hostel,"Boys Hostel Warden: Mr. Pranab Barman, 392 seats across H, HE, I blocks",https://adtu.in/contact/#hostel,Contact Us,Hostel,N/A,VERIFIED_V1_MARKDOWN,Found in V1 file: circulars.md,Claim supported by existing V1 corpus content
VK-16,Hostel,"Girls Hostel Warden: Ms. Utpala Barman, 496 seats across A, E, F blocks",https://adtu.in/contact/#hostel,Contact Us,Hostel,N/A,VERIFIED_V1_MARKDOWN,Found in V1 file: circulars.md,Claim supported by existing V1 corpus content
VK-17,Transport,Transport fraud penalty: pay entire year's transport fee for the route,https://adtu.in/code-of-conduct-students.html,Code of Conduct,Undertaking,N/A,VERIFIED_V1_MARKDOWN,Found in V1 file: circulars.md,Claim supported by existing V1 corpus content
VK-18,Conduct,Strict daily university uniform and Identity Card display required,https://adtu.in/code-of-conduct-students.html,Code of Conduct,Undertaking,N/A,VERIFIED_V1_MARKDOWN,Found in V1 file: circulars.md,Claim supported by existing V1 corpus content
VK-19,Placement,"Placement contact: Rimjhim Baruah Borah. Contact: rimjhim@adtu.in, +91 81348 99730",https://adtu.in/contact/,Contact Us,Quick Links,N/A,VERIFIED_V1_MARKDOWN,Found in V1 file: circulars.md,Claim supported by existing V1 corpus content
VK-20,Conduct,Dual enrollment prohibited: cannot enroll in any other regular course at another institution,https://adtu.in/code-of-conduct-students.html,Code of Conduct,Undertaking,N/A,VERIFIED_V1_MARKDOWN,Found in V1 file: circulars.md,Claim supported by existing V1 corpus content
